Gender,ItemPurchased,TotallyBought,Location,Category,Season
Female,Belt,1,Alabama,Accessories,Spring
Female,Blouse,3,Alabama,Clothing,Winter
Female,Coat,2,Alabama,Outerwear,Winter
Female,Dress,2,Alabama,Clothing,Summer
Female,Jacket,1,Alabama,Outerwear,Spring
Female,Jeans,1,Alabama,Clothing,Fall
Female,Jewelry,4,Alabama,Accessories,Spring
Female,Pants,1,Alabama,Clothing,Summer
Female,Sandals,3,Alabama,Footwear,Winter
Female,Scarf,1,Alabama,Accessories,Summer
Female,Shirt,1,Alabama,Clothing,Winter
Female,Shoes,4,Alabama,Footwear,Spring
Female,Socks,1,Alabama,Clothing,Fall
Female,Sunglasses,1,Alabama,Accessories,Winter
Female,Sweater,1,Alabama,Clothing,Spring
Female,Backpack,2,Alaska,Accessories,Spring
Female,Belt,1,Alaska,Accessories,Spring
Female,Blouse,3,Alaska,Clothing,Spring
Female,Dress,1,Alaska,Clothing,Spring
Female,Gloves,2,Alaska,Accessories,Summer
Female,Handbag,1,Alaska,Accessories,Summer
Female,Hat,1,Alaska,Accessories,Winter
Female,Hoodie,1,Alaska,Clothing,Summer
Female,Jeans,1,Alaska,Clothing,Spring
Female,Sandals,3,Alaska,Footwear,Spring
Female,Scarf,1,Alaska,Accessories,Fall
Female,Shirt,1,Alaska,Clothing,Winter
Female,Shorts,1,Alaska,Clothing,Spring
Female,Skirt,3,Alaska,Clothing,Fall
Female,Sneakers,1,Alaska,Footwear,Spring
Female,Socks,1,Alaska,Clothing,Spring
Female,Belt,1,Arizona,Accessories,Summer
Female,Blouse,1,Arizona,Clothing,Summer
Female,Coat,2,Arizona,Outerwear,Fall
Female,Dress,3,Arizona,Clothing,Winter
Female,Gloves,1,Arizona,Accessories,Summer
Female,Handbag,2,Arizona,Accessories,Fall
Female,Hoodie,2,Arizona,Clothing,Summer
Female,Jacket,2,Arizona,Outerwear,Winter
Female,Jeans,1,Arizona,Clothing,Summer
Female,Jewelry,1,Arizona,Accessories,Fall
Female,Pants,1,Arizona,Clothing,Spring
Female,Scarf,1,Arizona,Accessories,Fall
Female,Shirt,1,Arizona,Clothing,Spring
